 player_id,full_name,position
00-0027048,Glen Coffee,UNK
00-0026145,Glenn Dorsey,DE
00-0027081,Glover Quin,FS
00-0027891,Golden Tate,WR
00-0026858,Graham Gano,K
00-0027602,Graham Harrell,UNK
00-0023408,Greg Camarillo,UNK
00-0027774,Greg Hardy,UNK
00-0024267,Greg Jennings,UNK
00-0022897,Greg Jones,UNK
00-0027997,Greg Little,WR
00-0028146,Greg McElroy,UNK
00-0025418,Greg Olsen,TE
00-0028050,Greg Salas,WR
00-0026910,Greg Toler,DB
00-0029621,Greg Zuerlein,UNK
00-0029033,Griff Whalen,WR
00-0025566,H.B. Blades,UNK
00-0031333,Ha Ha Clinton-Dix,FS
00-0027005,Hakeem Nicks,UNK
00-0024227,Haloti Ngata,DT
00-0029606,Harrison Smith,FS
00-0026224,Harry Douglas,WR
00-0026346,Haruki Nakamura,UNK
00-0023215,Heath Farwell,UNK
00-0023465,Heath Miller,UNK
00-0026905,Henry Melton,UNK
00-0017162,Hines Ward,UNK
00-0024201,Hiram Eugene,UNK
00-0021983,Hunter Hillenmeyer,UNK
00-0015194,Hunter Smith,UNK
00-0025940,Husain Abdullah,UNK
00-0028241,Ian Williams,NT
00-0022915,Igor Olshansky,UNK
00-0021891,Ike Taylor,UNK
